Text,Lable
just going to say hi,welcome
heya,welcome
hello hi,welcome
howdy,welcome
hey there,welcome
hi there,welcome
greetings,welcome
hey,welcome
long time no see,welcome
hello,welcome
how are you,welcome
good morning,welcome
good evening,welcome
Greetings!,welcome
Hi there!,welcome
Hey!,welcome
Welcome,welcome
Hello!,welcome
hey!,welcome
Welcome,welcome
hello,welcome
Yo,welcome
What’s up?,welcome
Howdy,welcome
Sup?,welcome
Hiya,welcome
Salutations,welcome
"Hey, what’s up?",welcome
What’s new?,welcome
Ahoy,welcome
What’s crackin’?,welcome
Top of the morning to you,welcome
How’s tricks?,welcome
Hiya!,welcome
Howdy-do,welcome
brand-new order,new order
Can I order something new?,new order
I’d like to make a new purchase,new order
I need to reorder,new order
How do I place a new order?,new order
Is it possible to buy something,new order
initiate order,new order
l would like to order,new order
take my new order,new order
is it possible to order something,new order
"i am hungry, i need to order",new order
i want to eat something,new order
i am ready to start my order,new order
what about ordering something,new order
i am so excited ttto order,new order
I want to place a new order,new order
new order,new order
Place new order,new order
I'd like to place a new order.,new order
Can I order something new?,new order
Help me with a new order.,new order
I want to buy something new.,new order
Start a new order for me.,new order
Proceed with a new order.,new order
Let's begin a new order.,new order
Initiate a new order please.,new order
I'm ready to order something.,new order
Place a new order for me.,new order
"Give me 2 Cheese Burger Sandwich, one Shawarma Chicken Sandwich",add order
"I'd like to order two Shawarma Meat Sandwich, one Falafel Sandwich, and 3 Zinger Chicken Sandwich, please.",add order
"Can you please get me two Pepperoni Pizza, one Mixed Pizza, and Hot Dog Pizza?",add order
"Please prepare 2 Hummus Plate, along with one French Fries Plate and 1 Strawberry Donut for me",add order
"3 Vanilla Donut, 2 Chocolate Donut, 1 Chocolate Waffle",add order
"Can I get 2 Pan Cake, along with one Pepsi Cup and 1 Fresh Strawberry Juice?",add order
"I'll take 2 orders of Vanilla Donut, one Chocolate Waffle, and 1 Fanta Bottle, if you don't mind",add order
"I want one Chocolate Donut, two Pan Cake also add one delecious Four Seasons Pizza, do it fast please",add order
"In addition, add one Strawberry Donut and 2 Hummus Plate as well",add order
"Moreover, include 2 Zinger Chicken Sandwich",add order
"Also, please i want one more Crespi Chicken Sandwich",add order
"Additionally, I'd like 2 Falafel Sandwich",add order
2 Shawarma Meat Sandwich and ok lets add one Cheese Burger Sandwich too,add order
3 Vegitables Soup,add order
"Oh yes, add one Vegitables Soup as well",add order
Nope,complete order
That's all I needed,complete order
Done ordering it,complete order
Place an order,complete order
Done,complete order
That's it,complete order
No Pepsi Cup and Pan Cake in my order. please remove.,remove order
"Kindly take Vanilla Donut and Chocolate Donut off the order, please.",remove order
"I'd like to exclude Vegitables Soup and French Fries Plate, please",remove order
"I no longer want the Four Seasons Pizza in my order, please remove it",remove order
Kindly exclude the Hot Dog Pizza from my order,remove order
I would like to remove the Pepperoni Pizza from my order,remove order
Please take the Crespi Chicken Sandwich off my order,remove order
delete Falafel Sandwich from my order,remove order
"hey, plz get me Shawarma Chicken Sandwich and Cheese Burger Sandwich",add order
I don't want Hummus Plate,remove order
remove French Fries Plate from my order,remove order
can you remove Four Seasons Pizza?,remove order
check the status of my order,check order
track order,check order
track existing order,check order
How do I add an appointment?,add reservation
Can I schedule a visit?,add reservation
Is it possible to book a time?,add reservation
How can I set up an appointment?,add reservation
Can I arrange an appointment?,add reservation
I need to book an appointment,add reservation
I want to set up a call to reserve a table,add reservation
I need to schedule an appointment.,add reservation
I need to fix a resevation,add reservation
Can you schedule me in?,add reservation
I want to set a time,add reservation
I want to set a time,add reservation
I need to make a booking,add reservation
I need to make a resevation,add reservation
How do I schedule an appointment?,add reservation
Can you add an appointment for me?,add reservation
Can you add an appointment for us?,add reservation
I want to make an appointment,add reservation
Can you reserve a table for me?,add reservation
I need to book a table,add reservation
Can I get a reservation for [date/time]?,add reservation
I want to reserve a table for [number] people,add reservation
I’d like to make a reservation,add reservation
Can I book a table?,add reservation
I need to reserve a table,add reservation
I want to make a dinner reservation,add reservation
How do I reserve a table?,add reservation
Can I set up a reservation?,add reservation
Can I get a table?,add reservation
I need to book a spot.,add reservation
I want to reserve a spot,add reservation
Can you book a table for us?,add reservation
I need to save a table.,add reservation
I need to reserve a table for [number].,add reservation
I want to make a reservation for dinner,add reservation
How do I book a table for brunch?,add reservation
I need to reserve a table for a birthday dinner.,add reservation
How do I book a table?,add reservation
Can I reserve a table online?,add reservation
Is it possible to book a table for tonight?,add reservation
How can I make a reservation?,add reservation
Can I arrange a table booking?,add reservation
I need to cancel my table for this Friday evening.,cancel reservation
Please cancel my reservation for next Saturday lunch.,cancel reservation
I have to cancel my dinner plans for tonight.,cancel reservation
Could you cancel my booking for tomorrow’s breakfast?,cancel reservation
I need to withdraw my reservation for the upcoming weekend.,cancel reservation
Please remove my table booking for tomorrow’s brunch.,cancel reservation
"I won’t be able to attend, so please cancel my reservation.",cancel reservation
I need to cancel my booking for a group of four.,cancel reservation
Can you please cancel my dinner plans for tonight?,cancel reservation
I need to cancel my table for this afternoon please i have alot of works .,cancel reservation
Please cancel my breakfast reservation for tomorrow.,cancel reservation
Could you cancel my brunch booking for today?,cancel reservation
I need to cancel my dinner table for tomorrow.,cancel reservation
Please cancel my lunch reservation for today.,cancel reservation
I need to cancel my evening booking.,cancel reservation
Can you cancel my breakfast table for today?,cancel reservation
I need to cancel my brunch reservation for tomorrow.,cancel reservation
Please cancel my dinner booking for tonight.,cancel reservation
I need to cancel my lunch table for tomorrow.,cancel reservation
Could you cancel my morning reservation?,cancel reservation
I need to cancel my brunch booking for tomorrow.,cancel reservation
Please cancel my breakfast table for tomorrow.,cancel reservation
I need to cancel my lunch reservation for today.,cancel reservation
Could you cancel my dinner booking for tomorrow?,cancel reservation
I need to cancel my evening table.,cancel reservation
Please cancel my reservation for tonight.,cancel reservation
I need to cancel my weekend booking.,cancel reservation
Could you cancel my Friday night table?,cancel reservation
I need to cancel my Saturday morning reservation.,cancel reservation
Please cancel my Sunday afternoon booking.,cancel reservation
I need to cancel my Monday evening table.,cancel reservation
Could you cancel my Tuesday lunch reservation?,cancel reservation
I need to cancel my Wednesday dinner booking.,cancel reservation
Please cancel my Thursday brunch table.,cancel reservation
I need to cancel my Friday breakfast reservation.,cancel reservation
Could you cancel my Saturday dinner booking?,cancel reservation
I need to cancel my Sunday brunch table.,cancel reservation
Please cancel my Monday breakfast reservation.,cancel reservation
I need to cancel my Tuesday dinner booking.,cancel reservation
Could you cancel my Wednesday brunch table?,cancel reservation
I need to cancel my Thursday lunch reservation.,cancel reservation
Please cancel my Friday dinner booking.,cancel reservation
Wow... Loved this place.,Review
Crust is not good.,Review
Not tasty and the texture was just nasty.,Review
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,Review
The selection on the menu was great and so were the prices.,Review
Now I am getting angry and I want my damn pho.,Review
Honeslty it didn't taste THAT fresh.),Review
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,Review
The fries were great too.,Review
A great touch.,Review
Service was very prompt.,Review
Would not go back.,Review
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,Review
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",Review
I was disgusted because I was pretty sure that was human hair.,Review
I was shocked because no signs indicate cash only.,Review
Highly recommended.,Review
Waitress was a little slow in service.,Review
"This place is not worth your time, let alone Vegas.",Review
did not like at all.,Review
The Burrittos Blah!,Review
"The food, amazing.",Review
Service is also cute.,Review
I could care less... The interior is just beautiful.,Review
So they performed.,Review
That's right....the red velvet cake.....ohhh this stuff is so good.,Review
"This hole in the wall has great Mexican street tacos, and friendly staff.",Review
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",Review
The worst was the salmon sashimi.,Review
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",Review
This was like the final blow!,Review
I found this place by accident and I could not be happier.,Review
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",Review
"Overall, I like this place a lot.",Review
The only redeeming quality of the restaurant was that it was very inexpensive.,Review
Ample portions and good prices.,Review
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",Review
My first visit to Hiro was a delight!,Review
Service sucks.,Review
The shrimp tender and moist.,Review
There is not a deal good enough that would drag me into that establishment again.,Review
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,Review
"On a positive note, our server was very attentive and provided great service.",Review
"Frozen pucks of disgust, with some of the worst people behind the register.",Review
The only thing I did like was the prime rib and dessert section.,Review
It's too bad the food is so damn generic.,Review
"The burger is good beef, cooked just right.",Review
If you want a sandwich just go to any Firehouse!!!!!,Review
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",Review
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,Review
He came running after us when he realized my husband had left his sunglasses on the table.,Review
Their chow mein is so good!,Review
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",Review
The portion was huge!,Review
"Loved it...friendly servers, great food, wonderful and imaginative menu.",Review
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,Review
Not much seafood and like 5 strings of pasta at the bottom.,Review
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",Review
"The ripped banana was not only ripped, but petrified and tasteless.",Review
At least think to refill my water before I struggle to wave you over for 10 minutes.,Review
This place receives stars for their APPETIZERS!!!,Review
The cocktails are all handmade and delicious.,Review
We'd definitely go back here again.,Review
We are so glad we found this place.,Review
"Great food and service, huge portions and they give a military discount.",Review
Always a great time at Dos Gringos!,Review
Update.....went back for a second time and it was still just as amazing,Review
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,Review
A great way to finish a great.,Review
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",Review
The service was meh.,Review
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",Review
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",Review
The scallop dish is quite appalling for value as well.,Review
2 times - Very Bad Customer Service !,Review
The sweet potato fries were very good and seasoned well.,Review
Today is the second time I've been to their lunch buffet and it was pretty good.,Review
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,Review
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,Review
walked in and the place smelled like an old grease trap and only 2 others there eating.,Review
The turkey and roast beef were bland.,Review
This place has it!,Review
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,Review
I love the Pho and the spring rolls oh so yummy you have to try.,Review
The poor batter to meat ratio made the chicken tenders very unsatisfying.,Review
All I have to say is the food was amazing!!!,Review
Omelets are to die for!,Review
Everything was fresh and delicious!,Review
"In summary, this was a largely disappointing dining experience.",Review
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",Review
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",Review
Best breakfast buffet!!!,Review
say bye bye to your tip lady!,Review
We'll never go again.,Review
Will be back again!,Review
Food arrived quickly!,Review
It was not good.,Review
"On the up side, their cafe serves really good food.",Review
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",Review
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",Review
"Best Buffet in town, for the price you cannot beat it.",Review
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",Review
This is one of the better buffets that I have been to.,Review
So we went to Tigerlilly and had a fantastic afternoon!,Review
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",Review
The ambience is wonderful and there is music playing.,Review
Will go back next trip out.,Review
Sooooo good!!,Review
"REAL sushi lovers, let's be honest - Yama is not that good.",Review
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",Review
This is a really fantastic Thai restaurant which is definitely worth a visit.,Review
"Nice, spicy and tender.",Review
